Folder name,Image_1,Image_2,Matched
n000002,0008_01.jpg,0003_01.jpg,1
n000003,0015_01.jpg,0024_01.jpg,1
n000004,0010_01.jpg,0020_01.jpg,1
n000005,0066_01.jpg,0001_01.jpg,1
n000006,0062_01.jpg,0077_01.jpg,1
n000007,0011_01.jpg,0026_01.jpg,7
n000008,0002_01.jpg,0003_01.jpg,1
n000010,0050_01.jpg,0008_01.jpg,1
n000011,0005_01.jpg,0013_01.jpg,1
n000012,0008_01.jpg,0014_01.jpg,1
n000013,0011_01.jpg,0003_01.jpg,1
n000014,0131_01.jpg,0085_01.jpg,1
n000015,0002_01.jpg,0050_02.jpg,1
n000016,0119_01.jpg,0085_01.jpg,1
n000017,0035_01.jpg,0044_01.jpg,1
n000018,0158_01.jpg,0274_01.jpg,1
n000019,0044_02.jpg,0008_01.jpg,1
n000020,0007_01.jpg,0034_01.jpg,1
n000021,0055_01.jpg,0027_01.jpg,1
n000022,0005_01.jpg,0001_01.jpg,1
n000023,0011_01.jpg,0040_01.jpg,1
n000024,0020_01.jpg,0007_01.jpg,7
n000025,0018_01.jpg,0024_01.jpg,1
n000026,0025_01.jpg,0070_01.jpg,1
n000027,0018_01.jpg,0001_01.jpg,1
n000028,0054_01.jpg,0014_01.jpg,1
n000030,0035_01.jpg,0002_01.jpg,1
n000031,0031_01.jpg,0018_01.jpg,1
n000032,0074_01.jpg,0107_01.jpg,1
n000033,0023_01.jpg,0025_01.jpg,1
n000034,0072_01.jpg,0070_01.jpg,1
n000035,0160_01.jpg,0001_01.jpg,1
n000036,0206_01.jpg,0015_01.jpg,1
n000037,0038_01.jpg,0270_01.jpg,1
n000038,0015_01.jpg,0063_01.jpg,1
n000039,0002_01.jpg,0001_01.jpg,1
n000041,0002_01.jpg,0070_01.jpg,1
n000042,0075_01.jpg,0001_01.jpg,1
n000043,0086_01.jpg,0001_01.jpg,1
n000044,0076_01.jpg,0063_01.jpg,1
n000045,0158_01.jpg,0001_01.jpg,0
n000046,0031_01.jpg,0052_01.jpg,1
n000047,0103_01.jpg,0049_01.jpg,0
n000048,0032_01.jpg,0010_01.jpg,1
n000049,0065_01.jpg,0021_01.jpg,1
n000050,0055_01.jpg,0007_01.jpg,1
n000051,0016_01.jpg,0010_01.jpg,1
n000052,0014_02.jpg,0008_01.jpg,7
n000053,0015_01.jpg,0002_01.jpg,1
n000054,0016_01.jpg,0010_01.jpg,1
n000055,0002_01.jpg,0004_01.jpg,1
n000056,0012_01.jpg,0001_01.jpg,7
n000057,0013_01.jpg,0249_01.jpg,1
n000058,0005_01.jpg,0052_01.jpg,1
n000059,0005_01.jpg,0025_01.jpg,1
n000060,0120_01.jpg,0009_01.jpg,1
n000061,0005_01.jpg,0033_01.jpg,1
n000062,0003_01.jpg,0027_01.jpg,1
n000063,0002_01.jpg,0061_01.jpg,1
n000064,0368_01.jpg,0001_01.jpg,1
n000065,0008_01.jpg,0009_01.jpg,1
n000066,0058_01.jpg,0014_01.jpg,1
n000067,0001_01.jpg,0123_01.jpg,0
n000068,0057_01.jpg,0003_01.jpg,1
n000069,0124_01.jpg,0015_01.jpg,1
n000070,0094_01.jpg,0042_01.jpg,1
n000071,0162_01.jpg,0001_01.jpg,1
n000072,0088_01.jpg,0007_01.jpg,1
n000073,0103_01.jpg,0025_01.jpg,1
n000074,0011_01.jpg,0007_01.jpg,1
n000075,0008_01.jpg,0106_01.jpg,1
n000076,0019_01.jpg,0001_01.jpg,1
n000077,0036_01.jpg,0025_02.jpg,1
n000079,0022_01.jpg,0003_01.jpg,1
n000080,0026_01.jpg,0004_01.jpg,1
n000081,0017_01.jpg,0007_01.jpg,1
n000083,0068_01.jpg,0007_01.jpg,1
n000084,0055_01.jpg,0023_01.jpg,1
n000085,0045_01.jpg,0028_01.jpg,1
n000086,0002_01.jpg,0093_01.jpg,1
n000087,0042_01.jpg,0002_01.jpg,1
n000088,0042_02.jpg,0001_01.jpg,1
n000089,0019_01.jpg,0025_01.jpg,1
n000090,0005_01.jpg,0002_01.jpg,1
n000091,0020_01.jpg,0002_01.jpg,1
n000092,0047_01.jpg,0001_01.jpg,1
n000093,0010_01.jpg,0006_01.jpg,1
n000094,0032_01.jpg,0036_01.jpg,1
n000095,0002_01.jpg,0006_01.jpg,1
n000096,0032_01.jpg,0034_01.jpg,1
n000097,0002_02.jpg,0001_01.jpg,1
n000098,0022_01.jpg,0001_01.jpg,1
n000099,0006_01.jpg,0001_01.jpg,1
n000100,0017_01.jpg,0024_01.jpg,1
n000101,0002_01.jpg,0025_01.jpg,1
n000102,0005_01.jpg,0020_01.jpg,1
n000103,0038_01.jpg,0044_01.jpg,1
n000104,0002_01.jpg,0001_01.jpg,1
n000105,0020_01.jpg,0021_01.jpg,1
n000107,0051_01.jpg,0001_01.jpg,1
n000108,0078_01.jpg,0013_01.jpg,1
n000109,0018_01.jpg,0001_01.jpg,1
n000110,0029_01.jpg,0001_01.jpg,1
n000111,0058_01.jpg,0001_01.jpg,1
n000112,0001_01.jpg,0003_01.jpg,1
n000113,0021_01.jpg,0003_01.jpg,1
n000114,0002_01.jpg,0001_01.jpg,1
n000115,0029_01.jpg,0001_01.jpg,1
n000116,0005_01.jpg,0032_01.jpg,1
n000117,0019_01.jpg,0025_02.jpg,1
n000118,0006_01.jpg,0001_01.jpg,1
n000119,0013_01.jpg,0014_01.jpg,1
n000120,0099_01.jpg,0001_01.jpg,1
n000121,0012_01.jpg,0019_01.jpg,1
n000122,0013_01.jpg,0026_01.jpg,1
n000123,0005_01.jpg,0033_01.jpg,1
n000124,0066_01.jpg,0002_01.jpg,1
n000125,0018_01.jpg,0039_01.jpg,1
n000126,0001_01.jpg,0003_01.jpg,1
n000127,0185_01.jpg,0067_01.jpg,1
n000128,0062_01.jpg,0041_01.jpg,1
n000130,0124_01.jpg,0229_01.jpg,1
n000131,0111_01.jpg,0209_01.jpg,1
n000132,0088_01.jpg,0130_01.jpg,1
n000133,0019_01.jpg,0043_01.jpg,1
n000134,0192_01.jpg,0063_01.jpg,1
n000135,0343_01.jpg,0255_01.jpg,1
n000136,0029_01.jpg,0026_01.jpg,1
n000137,0212_01.jpg,0108_01.jpg,1
n000138,0292_01.jpg,0261_01.jpg,1
n000139,0360_01.jpg,0032_01.jpg,0
n000140,0088_01.jpg,0044_01.jpg,1
n000141,0012_01.jpg,0001_01.jpg,1
n000142,0038_01.jpg,0319_01.jpg,0
n000143,0525_01.jpg,0693_01.jpg,1
n000144,0246_01.jpg,0213_02.jpg,1
n000145,0038_01.jpg,0034_01.jpg,1
n000146,0037_01.jpg,0042_01.jpg,1
n000150,0073_01.jpg,0269_01.jpg,1
n000151,0217_01.jpg,0038_01.jpg,1
n000152,0087_01.jpg,0111_01.jpg,1
n000154,0052_01.jpg,0148_01.jpg,1
n000155,0019_01.jpg,0130_01.jpg,1
n000156,0128_01.jpg,0321_01.jpg,0
n000157,0012_01.jpg,0045_01.jpg,1
n000158,0018_01.jpg,0226_01.jpg,1
n000159,0214_01.jpg,0023_01.jpg,1
n000160,0255_01.jpg,0471_01.jpg,1
n000161,0203_01.jpg,0266_01.jpg,1
